Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport Light Gray Diagonal Corner Base - 24w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-BEC24-RTA,725,2,0,1,24.0in,34.5in,24.0in
Seaport Light Gray Diagonal Corner Sink Base - 18w 34½h 24d,Base Cabinet,Corner Kitchen Cabinets,SLG-DSB36-RTA,801,1,0,1,18.0in,34.5in,24.0in
Seaport Light Gray Diagonal Corner Wall - 18w 30h 24d,Wall Cabinet,Corner Kitchen Cabinets,SLG-WDC2430-RTA,431,1,0,2,18.0in,30.0in,24.0in
Seaport Light Gray Diagonal Corner Wall - 18w 36h 24d,Wall Cabinet,Corner Kitchen Cabinets,SLG-WDC2436-RTA,490,1,0,2,18.0in,36.0in,24.0in
Seaport Light Gray Diagonal Corner Wall - 18w 42h 24d,Wall Cabinet,Corner Kitchen Cabinets,SLG-WDC2442-RTA,552,1,0,3,18.0in,42.0in,24.0in
Seaport Light Gray Diagonal Corner Wall - 24w 15h 24d,Wall Cabinet,Corner Kitchen Cabinets,SLG-WDC2415-RTA,448,1,0,0,24.0in,15.0in,24.0in
Seaport Light Gray Diagonal Corner Wall Cabinet with Glass Door - 18w 30h 24d,Wall Cabinet,Glass-Front Kitchen Cabinets,SLG-PGDWDC2430-RTA,915,1,0,2,18.0in,30.0in,24.0in
Seaport Light Gray Diagonal Corner Wall Cabinet with Glass Door - 18w 36h 24d,Wall Cabinet,Glass-Front Kitchen Cabinets,SLG-PGDWDC2436-RTA,999,1,0,2,18.0in,36.0in,24.0in
Seaport Light Gray Diagonal Corner Wall Cabinet with Glass Door - 18w 42h 24d,Wall Cabinet,Glass-Front Kitchen Cabinets,SLG-PGDWDC2442-RTA,1072,1,0,3,18.0in,42.0in,24.0in
Seaport Light Gray Diagonal Corner Wall Cabinet with Glass Door - 24w 15h 24d,Wall Cabinet,Glass-Front Kitchen Cabinets,SLG-PGDWDC2415-RTA,977,1,0,0,24.0in,15.0in,24.0in
Seaport Light Gray Double Base Cabinet - 24w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-BF2424-RTA,465,2,0,1,24.0in,34.5in,24.0in
Seaport Light Gray Double Base Cabinet - 27w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B27-RTA,484,2,1,1,27.0in,34.5in,24.0in
